index,column,original_value,modified_value,difference_percentage
15,Val_A,12.266928,13.29296,0.0836421311024244
16,Val_A,13.29296,17.883265,0.3453184994162324
17,Val_A,17.883265,13.69685,0.23409679384609028
18,Val_A,13.69685,15.923199,0.16254459967072726
19,Val_A,15.923199,16.799406,0.055027070879413165
20,Val_A,16.799406,17.817305,0.06059136852814914
22,Val_A,17.208195,13.980232,0.18758289291817062
23,Val_A,13.980232,14.845039,0.06185927386612747
24,Val_A,14.845039,12.016095,0.1905649422679186
25,Val_A,12.016095,15.004646,0.24871233125237435
27,Val_A,14.41345,8.0380515,0.44232286510169316
34,Val_A,16.91926,18.947495,0.11987728777736133
35,Val_A,18.947495,19.90008,0.05027498357962354
36,Val_A,19.90008,18.770329,0.056771178809331364
37,Val_A,18.770329,16.850954,0.10225579956536716
38,Val_A,16.850954,18.42688,0.09352147065382761
39,Val_A,18.42688,17.424458,0.05439998523895522
43,Val_A,15.857476,17.374504,0.09566642257569878
44,Val_A,17.374504,16.03314,0.07720300965138355
45,Val_A,16.03314,18.301497,0.14147927355465004
48,Val_A,16.685453,14.858949,0.10946685115471533
49,Val_A,14.858949,13.819938,0.06992493210657096
52,Val_A,14.212949,18.735571,0.3182043360600253
53,Val_A,14.382636,18.174915,0.26367065119356414
54,Val_A,14.102592,19.267977,0.36627202999278424
56,Val_A,18.174915,19.609612,0.07893830590129307
57,Val_A,19.267977,13.085416,0.32087234689972893
58,Val_A,18.709984,15.195244,0.18785371489360964
59,Val_A,19.609612,13.156229,0.329092844876278
61,Val_A,15.195244,11.647044,0.23350727372327823
62,Val_A,13.156229,11.907882,0.09488638423669875
64,Val_A,11.647044,14.681767,0.2605573568709796
65,Val_A,11.907882,6.5610025,0.44902019519508174
66,Val_A,13.885218,18.864527,0.35860502874351696
67,Val_A,14.681767,21.297451,0.4506054346183261
68,Val_A,13.122005,20.260651,0.5440209785013799
69,Val_A,18.864527,17.183935,0.0890874178822505
70,Val_A,21.297451,17.765965,0.1658173083717858
71,Val_A,20.827709,13.540368,0.3498868262467081
72,Val_A,20.260651,12.748651,0.370767948176986
73,Val_A,17.183935,14.703263,0.14435995015111508
74,Val_A,17.765965,15.920743,0.1038627510523634
75,Val_A,13.540368,15.141841,0.11827396419358753
76,Val_A,12.748651,15.786891,0.23831854837033345
78,Val_A,15.920743,13.426466857142858,0.1566683252695645
80,Val_A,15.786891,13.705534,0.13184084187317188
81,Val_A,15.246197,13.695101,0.10173658388383681
82,Val_A,13.426466857142858,14.49542,0.07961537120902812
84,Val_A,13.705534,14.837005,0.08255577637471108
89,Val_A,13.519392,15.654226,0.15790902431115242
91,Val_A,13.624846,16.905388,0.24077644620717173
92,Val_A,14.690495,8.7556935,0.4039892120721596
93,Val_A,15.654226,18.016806,0.15092282429038648
94,Val_A,14.46665,17.796185,0.23015245409268917
96,Val_A,17.511387,15.225535,0.13053517691088654
97,Val_A,18.016806,7.0619805,0.6080337158539643
99,Val_A,16.657364,18.095659,0.08634589482465534
100,Val_A,15.225535,16.655603,0.09392563216990395
101,Val_A,14.123961,16.71002,0.18309729119189727
102,Val_A,18.152843,13.321477,0.2661492747995452
103,Val_A,18.095659,13.031744,0.27984142495169706
104,Val_A,16.655603,0.7735847352321291,0.9535540841582182
105,Val_A,16.71002,0.8898960452095016,0.9467447648052185
106,Val_A,13.321477,0.3424515132947733,0.9742932774425259
107,Val_A,13.031744,0.46442070218186504,0.9643623522544745
108,Val_A,13.367918,0.038583441544881136,0.9971137284396208
15,Val_B,0.591264,0.77709,0.3142860042214644
34,Val_B,0.814253,1.1318496,0.3900465825732297
35,Val_B,0.943208,1.2351527999999998,0.30952324407765813
52,Val_B,0.72791,0.96163,0.3210836504512921
53,Val_B,0.738162,0.980052,0.3276922951872354
54,Val_B,0.717658,1.1760624,0.638750491181036
58,Val_B,1.031633,0.573572,0.4440154589858991
59,Val_B,1.009527,0.6322044,0.3737617716019483
66,Val_B,0.576872,1.01058,0.7518270950921521
67,Val_B,0.568451,0.995608,0.7514403176351172
68,Val_B,0.543186,1.01058,0.8604676851023408
72,Val_B,1.01058,0.60232,0.40398582991945226
96,Val_B,0.775864,1.2126947999999997,0.5630249631378692
97,Val_B,0.788542,1.029294,0.3053128431966845
98,Val_B,0.874556,1.2126947999999997,0.3866405353116321
99,Val_B,0.817845,1.2126947999999997,0.48279294976431925
103,Val_B,1.010579,0.67372,0.3333326736455042
105,Val_B,0.816237,0.1684682870642641,0.7936037118333719
106,Val_B,0.658748,0.3554139753162816,0.4604705056921894
107,Val_B,0.67372,0.07391960466043601,0.8902814156319598
108,Val_B,0.67372,0.4652786064829074,0.3093887572242067
2,Val_C,17.821177,14.274227,0.19903006406366983
4,Val_C,14.324647,13.753304,0.039885310960891436
